Function,nbCles,Time
AjoutsIteratifs,1000,0.000070
Construction,1000,0.000046
Union,1000,0.000087
AjoutsIteratifs,1000,0.000075
Construction,1000,0.000052
Union,1000,0.000090
AjoutsIteratifs,1000,0.000075
Construction,1000,0.000052
Union,1000,0.000084
AjoutsIteratifs,1000,0.000060
Construction,1000,0.000041
Union,1000,0.000062
AjoutsIteratifs,1000,0.000063
Construction,1000,0.000042
Union,1000,0.000100
AjoutsIteratifs,5000,0.000280
Construction,5000,0.000192
Union,5000,0.000241
AjoutsIteratifs,5000,0.000245
Construction,5000,0.000171
Union,5000,0.000200
AjoutsIteratifs,5000,0.000207
Construction,5000,0.000135
Union,5000,0.000191
AjoutsIteratifs,5000,0.000177
Construction,5000,0.000126
Union,5000,0.000143
AjoutsIteratifs,5000,0.000158
Construction,5000,0.000110
Union,5000,0.000142
AjoutsIteratifs,10000,0.000306
Construction,10000,0.000196
Union,10000,0.000272
AjoutsIteratifs,10000,0.000285
Construction,10000,0.000195
Union,10000,0.000255
AjoutsIteratifs,10000,0.000270
Construction,10000,0.000198
Union,10000,0.000263
AjoutsIteratifs,10000,0.000274
Construction,10000,0.000193
Union,10000,0.000243
AjoutsIteratifs,10000,0.000272
Construction,10000,0.000188
Union,10000,0.000261
AjoutsIteratifs,20000,0.000568
Construction,20000,0.000380
Union,20000,0.000540
AjoutsIteratifs,20000,0.000523
Construction,20000,0.000389
Union,20000,0.000519
AjoutsIteratifs,20000,0.000526
Construction,20000,0.000367
Union,20000,0.000504
AjoutsIteratifs,20000,0.000531
Construction,20000,0.000362
Union,20000,0.000498
AjoutsIteratifs,20000,0.000539
Construction,20000,0.000368
Union,20000,0.000505
AjoutsIteratifs,50000,0.001346
Construction,50000,0.000935
Union,50000,0.001231
AjoutsIteratifs,50000,0.001346
Construction,50000,0.000937
Union,50000,0.001191
AjoutsIteratifs,50000,0.001371
Construction,50000,0.000931
Union,50000,0.001361
AjoutsIteratifs,50000,0.001382
Construction,50000,0.000939
Union,50000,0.001261
AjoutsIteratifs,50000,0.001369
Construction,50000,0.000936
Union,50000,0.001322
AjoutsIteratifs,80000,0.002227
Construction,80000,0.001484
Union,80000,0.002116
AjoutsIteratifs,80000,0.002192
Construction,80000,0.001501
Union,80000,0.002054
AjoutsIteratifs,80000,0.002183
Construction,80000,0.001468
Union,80000,0.002128
AjoutsIteratifs,80000,0.002142
Construction,80000,0.001476
Union,80000,0.002005
AjoutsIteratifs,80000,0.002187
Construction,80000,0.001472
Union,80000,0.002010
AjoutsIteratifs,120000,0.003363
Construction,120000,0.002283
Union,120000,0.003085
AjoutsIteratifs,120000,0.003644
Construction,120000,0.002405
Union,120000,0.002982
AjoutsIteratifs,120000,0.003251
Construction,120000,0.002311
Union,120000,0.002963
AjoutsIteratifs,120000,0.003386
Construction,120000,0.002292
Union,120000,0.002942
AjoutsIteratifs,120000,0.003296
Construction,120000,0.002270
Union,120000,0.003222
AjoutsIteratifs,200000,0.005885
Construction,200000,0.003828
Union,200000,0.006042
AjoutsIteratifs,200000,0.005579
Construction,200000,0.003856
Union,200000,0.005806
AjoutsIteratifs,200000,0.005618
Construction,200000,0.003897
Union,200000,0.005733
AjoutsIteratifs,200000,0.005603
Construction,200000,0.003784
Union,200000,0.007603
AjoutsIteratifs,200000,0.006241
Construction,200000,0.003962
Union,200000,0.005703
